INFO:root:server started
INFO:root:delegating col 159
INFO:root:col 159 processed
INFO:root:delegating col 160
INFO:root:col 160 processed
INFO:root:delegating col 161
INFO:root:col 161 processed
INFO:root:delegating col 162
INFO:root:col 162 processed
INFO:root:delegating col 163
INFO:root:col 163 processed
INFO:root:delegating col 164
INFO:root:col 164 processed
INFO:root:delegating col 165
INFO:root:col 165 processed
INFO:root:delegating col 166
INFO:root:col 166 processed
INFO:root:delegating col 167
INFO:root:col 167 processed
INFO:root:delegating col 168
INFO:root:col 168 processed
INFO:root:delegating col 169
INFO:root:col 169 processed
INFO:root:delegating col 170
INFO:root:col 170 processed
INFO:root:delegating col 171
INFO:root:col 171 processed
INFO:root:delegating col 172
INFO:root:col 172 processed
INFO:root:delegating col 173
INFO:root:col 173 processed
INFO:root:delegating col 174
INFO:root:col 174 processed
INFO:root:delegating col 175
INFO:root:col 175 processed
INFO:root:delegating col 176
INFO:root:col 176 processed
INFO:root:delegating col 177
INFO:root:col 177 processed
INFO:root:delegating col 178
INFO:root:col 178 processed
INFO:root:delegating col 179
INFO:root:col 179 processed
INFO:root:delegating col 180
INFO:root:col 180 processed
INFO:root:delegating col 181
INFO:root:col 181 processed
INFO:root:delegating col 182
INFO:root:col 182 processed
INFO:root:delegating col 183
INFO:root:col 183 processed
INFO:root:delegating col 184
INFO:root:col 184 processed
INFO:root:delegating col 185
INFO:root:col 185 processed
INFO:root:delegating col 186
INFO:root:col 186 processed
INFO:root:delegating col 187
INFO:root:col 187 processed
INFO:root:delegating col 188
INFO:root:col 188 processed
INFO:root:delegating col 189
INFO:root:col 189 processed
INFO:root:delegating col 190
INFO:root:col 190 processed
INFO:root:delegating col 191
INFO:root:col 191 processed
INFO:root:delegating col 192
INFO:root:col 192 processed
INFO:root:delegating col 193
INFO:root:col 193 processed
INFO:root:delegating col 194
INFO:root:col 194 processed
INFO:root:delegating col 195
INFO:root:col 195 processed
INFO:root:delegating col 196
INFO:root:col 196 processed
INFO:root:delegating col 197
INFO:root:col 197 processed
INFO:root:delegating col 198
INFO:root:col 198 processed
INFO:root:delegating col 199
INFO:root:col 199 processed
INFO:root:delegating col 200
INFO:root:col 200 processed
INFO:root:delegating col 201
INFO:root:col 201 processed
INFO:root:delegating col 202
INFO:root:col 202 processed
INFO:root:delegating col 203
INFO:root:col 203 processed
INFO:root:delegating col 204
INFO:root:col 204 processed
INFO:root:delegating col 205
INFO:root:col 205 processed
INFO:root:delegating col 206
INFO:root:col 206 processed
INFO:root:delegating col 207
INFO:root:col 207 processed
INFO:root:delegating col 208
INFO:root:col 208 processed
INFO:root:delegating col 209
INFO:root:col 209 processed
INFO:root:delegating col 210
INFO:root:col 210 processed
INFO:root:delegating col 211
INFO:root:col 211 processed
INFO:root:delegating col 212
INFO:root:col 212 processed
INFO:root:delegating col 213
INFO:root:col 213 processed
INFO:root:delegating col 214
INFO:root:col 214 processed
INFO:root:delegating col 215
INFO:root:col 215 processed
INFO:root:delegating col 216
INFO:root:col 216 processed
INFO:root:delegating col 217
INFO:root:col 217 processed
INFO:root:delegating col 218
INFO:root:col 218 processed
INFO:root:delegating col 219
INFO:root:col 219 processed
INFO:root:delegating col 220
INFO:root:col 220 processed
INFO:root:delegating col 221
INFO:root:col 221 processed
INFO:root:delegating col 222
INFO:root:col 222 processed
INFO:root:delegating col 223
INFO:root:col 223 processed
INFO:root:delegating col 224
INFO:root:col 224 processed
INFO:root:delegating col 225
INFO:root:col 225 processed
INFO:root:delegating col 226
INFO:root:col 226 processed
INFO:root:delegating col 227
INFO:root:col 227 processed
INFO:root:delegating col 228
INFO:root:col 228 processed
INFO:root:delegating col 229
INFO:root:col 229 processed
INFO:root:delegating col 230
INFO:root:col 230 processed
INFO:root:delegating col 231
INFO:root:col 231 processed
INFO:root:delegating col 232
INFO:root:col 232 processed
INFO:root:delegating col 233
INFO:root:col 233 processed
INFO:root:delegating col 234
INFO:root:col 234 processed
INFO:root:delegating col 235
INFO:root:col 235 processed
INFO:root:delegating col 236
INFO:root:col 236 processed
INFO:root:delegating col 237
INFO:root:col 237 processed
INFO:root:delegating col 238
INFO:root:col 238 processed
INFO:root:delegating col 239
INFO:root:col 239 processed
INFO:root:delegating col 240
INFO:root:col 240 processed
INFO:root:delegating col 241
INFO:root:col 241 processed
INFO:root:delegating col 242
INFO:root:col 242 processed
INFO:root:delegating col 243
INFO:root:col 243 processed
INFO:root:delegating col 244
INFO:root:col 244 processed
INFO:root:delegating col 245
INFO:root:col 245 processed
INFO:root:delegating col 246
INFO:root:col 246 processed
INFO:root:delegating col 247
INFO:root:col 247 processed
INFO:root:delegating col 248
INFO:root:col 248 processed
INFO:root:delegating col 249
INFO:root:col 249 processed
INFO:root:delegating col 250
INFO:root:col 250 processed
INFO:root:delegating col 251
INFO:root:col 251 processed
INFO:root:delegating col 252
INFO:root:col 252 processed
INFO:root:delegating col 253
INFO:root:col 253 processed
INFO:root:delegating col 254
INFO:root:col 254 processed
INFO:root:delegating col 255
INFO:root:col 255 processed
INFO:root:delegating col 256
INFO:root:col 256 processed
INFO:root:delegating col 257
INFO:root:col 257 processed
INFO:root:delegating col 258
INFO:root:col 258 processed
INFO:root:delegating col 259
INFO:root:col 259 processed
INFO:root:delegating col 260
INFO:root:col 260 processed
INFO:root:delegating col 261
INFO:root:col 261 processed
INFO:root:delegating col 262
INFO:root:col 262 processed
INFO:root:delegating col 263
INFO:root:col 263 processed
INFO:root:delegating col 264
INFO:root:col 264 processed
INFO:root:delegating col 265
INFO:root:col 265 processed
INFO:root:delegating col 266
INFO:root:col 266 processed
INFO:root:delegating col 267
INFO:root:col 267 processed
INFO:root:delegating col 268
INFO:root:col 268 processed
INFO:root:delegating col 269
INFO:root:col 269 processed
INFO:root:delegating col 270
INFO:root:col 270 processed
INFO:root:delegating col 271
INFO:root:col 271 processed
INFO:root:delegating col 272
INFO:root:col 272 processed
INFO:root:delegating col 273
INFO:root:col 273 processed
INFO:root:delegating col 274
INFO:root:col 274 processed
